Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1074","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","1006","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","585","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","569","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1423","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas (Royaume des)","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","1361","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","28","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","36","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1762","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","1881","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","515","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","425","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","48","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","49","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","14","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","26","I","Valeur imputée"
